Logistic regression,Random Forest permutation,xgboost,combined
pedestrian,carStationWagon,carStationWagon,carStationWagon
motorcycle,speedLimit,speedLimit,speedLimit
bicycle,motorcycle,pedestrian,motorcycle
tree,pedestrian,motorcycle,pedestrian
postOrPole,urban,bicycle,bicycle
moped,vanOrUtility,crashFinancialYear,region
roadLane,bicycle,region,roadLane
speedLimit,fence,roadLane,crashFinancialYear
truck,streetLight,weather,streetLight
vanOrUtility,tree,streetLight,tree
fence,truck,tree,vanOrUtility
cliffBank,region,light,fence
suv,roadLane,NumberOfLanes,weather
ditch,suv,postOrPole,NumberOfLanes
bus,postOrPole,moped,postOrPole
carStationWagon,crashFinancialYear,trafficControl,truck
bridge,NumberOfLanes,fence,light
otherVehicleType,weather,advisorySpeed,suv
weather,cliffBank,vanOrUtility,trafficControl
NumberOfLanes,advisorySpeed,truck,moped
overBank,trafficControl,guardRail,advisorySpeed
houseOrBuilding,light,parkedVehicle,cliffBank
waterRiver,flatHill,flatHill,flatHill
trafficIsland,parkedVehicle,suv,parkedVehicle
guardRail,moped,holiday,guardRail
parkedVehicle,ditch,roadSurface,trafficSign
advisorySpeed,trafficSign,cliffBank,roadSurface
region,guardRail,overBank,ditch
trafficControl,bus,houseOrBuilding,overBank
train,overBank,roadCharacter,holiday
strayAnimal,roadSurface,trafficSign,roadCharacter
urban,roadCharacter,waterRiver,houseOrBuilding
kerb,trafficIsland,temporarySpeedLimit,bus
roadCharacter,kerb,ditch,temporarySpeedLimit
slipOrFlood,houseOrBuilding,bus,trafficIsland
trafficSign,temporarySpeedLimit,otherVehicleType,waterRiver
flatHill,holiday,bridge,kerb
temporarySpeedLimit,strayAnimal,strayAnimal,strayAnimal
streetLight,waterRiver,trafficIsland,bridge
schoolBus,bridge,kerb,otherVehicleType
roadworks,slipOrFlood,train,slipOrFlood
light,unknownVehicleType,slipOrFlood,train
roadSurface,otherVehicleType,taxi,roadworks
holiday,train,vehicle,vehicle
vehicle,roadworks,roadworks,schoolBus
unknownVehicleType,schoolBus,schoolBus,taxi
crashFinancialYear,vehicle,unknownVehicleType,unknownVehicleType
taxi,taxi,,